,Cluster
532,0
533,0
534,0
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,1
554,1
555,3
556,1
557,2
558,1
559,1
560,2
561,1
562,1
563,3
564,1
565,3
566,3
567,3
568,1
569,1
570,3
571,1
572,3
573,1
574,1
575,3
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,2
584,1
585,1
586,2
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,2
614,2
615,0
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,1
633,1
634,2
635,3
636,2
637,2
638,2
639,2
640,2
641,2
642,1
643,2
644,3
645,3
646,1
647,3
648,1
649,3
650,3
651,1
652,1
653,1
654,1
655,3
656,1
657,3
658,1
659,1
660,1
661,1
662,3
663,3
664,3
665,3
666,1
667,3
668,1
669,3
670,1
671,1
672,3
673,1
674,3
675,3
676,1
677,3
678,1
679,3
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,1
721,2
722,1
723,3
724,1
725,3
726,1
727,1
728,1
729,1
730,3
731,1
732,2
733,2
734,1
735,2
736,3
737,1
738,1
739,3
740,1
741,3
742,1
743,1
744,3
745,2
746,1
747,1
748,1
749,1
750,1
751,3
752,3
753,1
754,1
755,1
756,1
757,3
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,1
801,2
802,2
803,1
804,3
805,1
806,2
807,2
808,2
809,1
810,3
811,3
812,3
813,1
814,1
815,3
816,3
817,1
818,1
819,3
820,1
821,1
822,1
823,1
824,3
825,1
826,1
827,1
828,3
829,3
830,1
831,1
832,3
833,3
834,3
835,3
836,3
837,3
838,1
839,3
840,1
841,1
842,1
843,1
844,3
845,3
846,3
847,1
848,1
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,2
882,2
883,2
884,2
885,2
886,2
887,2
888,2
889,2
890,2
891,2
892,2
893,2
894,2
895,3
896,2
897,3
898,3
899,2
900,3
901,3
902,1
903,3
904,3
905,3
906,3
907,2
908,1
909,1
910,3
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,2
924,2
925,1
926,3
927,3
928,1
929,1
930,1
931,3
932,3
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,2
970,0
971,2
972,2
973,2
974,2
975,2
976,2
977,2
978,2
979,2
980,2
981,2
982,2
983,2
984,2
985,2
986,2
987,2
988,2
989,2
990,2
991,2
992,2
993,2
994,2
995,2
996,2
997,2
998,2
999,2
1000,2
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,2
1010,2
1011,2
1012,2
1013,2
1014,2
1015,2
1016,2
1017,2
1018,2
1019,2
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1045,2
1046,2
1047,2
1048,2
1049,2
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,2
1059,2
1060,1
1061,1
1062,1
1063,3
1064,1
1065,3
1066,2
1067,2
1068,3
1069,1
1070,1
1071,3
1072,1
1073,3
1074,1
1075,1
1076,1
1077,2
1078,1
1079,1
1080,1
1081,1
1082,1
1083,3
1084,1
1085,3
1086,3
1087,1
1088,3
1089,1
1090,1
1091,1
1092,3
1093,1
1094,3
1095,1
1096,1
1097,1
1098,1
1099,3
1100,1
1101,1
1102,1
1103,3
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,2
1130,2
1131,2
1132,2
1133,2
1134,2
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,1
1148,1
1149,2
1150,2
1151,2
1152,2
1153,2
1154,2
1155,2
1156,2
1157,2
1158,1
1159,2
1160,1
1161,2
1162,3
1163,1
1164,2
1165,2
1166,2
1167,1
1168,2
1169,3
1170,3
1171,1
1172,1
1173,3
1174,1
1175,3
1176,1
1177,1
1178,2
1179,2
1180,2
1181,1
1182,1
1183,2
1184,1
1185,3
1186,3
1187,1
1188,1
1189,1
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,2
1218,2
1219,2
1220,2
1221,2
1222,2
1223,2
1224,2
1225,2
1226,2
1227,2
1228,1
1229,2
1230,2
1231,2
1232,2
1233,2
1234,2
1235,1
1236,1
1237,2
1238,1
1239,3
1240,3
1241,1
1242,1
1243,3
1244,1
1245,3
1246,3
1247,1
1248,3
1249,3
1250,3
1251,3
1252,3
1253,1
1254,3
1255,1
1256,1
1257,1
1258,3
1259,1
1260,1
1261,1
1262,1
1263,3
1264,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,3
1271,1
1272,3
1273,1
1274,1
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,2
1294,0
1295,2
1296,2
1297,2
1298,2
1299,2
1300,2
1301,2
1302,2
1303,2
1304,2
1305,2
1306,2
1307,2
1308,2
1309,2
1310,2
1311,2
1312,3
1313,1
1314,1
1315,1
1316,1
1317,2
1318,1
1319,1
1320,1
1321,2
1322,3
1323,1
1324,1
1325,1
1326,1
1327,3
1328,1
1329,1
1330,3
1331,1
1332,3
1333,3
1334,1
1335,1
1336,3
1337,3
1338,1
1339,1
1340,3
1341,1
1342,1
1343,3
1344,1
1345,3
1346,3
1347,1
1348,1
1349,3
1350,1
1351,1
1352,1
1353,1
1354,3
1355,1
1356,1
1357,3
1358,3
1359,3
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,2
1392,2
1393,2
1394,2
1395,2
1396,2
1397,2
1398,2
1399,2
1400,2
1401,2
1402,2
1403,2
1404,2
1405,2
1406,2
1407,2
1408,2
1409,2
1410,2
1411,2
1412,1
1413,2
1414,2
1415,1
1416,2
1417,3
1418,1
1419,3
1420,1
1421,2
1422,3
1423,1
1424,2
1425,3
1426,3
1427,3
1428,1
1429,1
1430,1
1431,3
1432,1
1433,3
1434,3
1435,3
1436,1
1437,3
1438,3
1439,1
1440,3
1441,3
1442,3
1443,3
1444,3
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,2
1485,0
1486,2
1487,2
1488,2
1489,2
1490,2
1491,2
1492,2
1493,2
1494,2
1495,2
1496,1
1497,2
1498,3
1499,1
1500,2
1501,1
1502,2
1503,2
1504,2
1505,2
1506,2
1507,2
1508,2
1509,2
1510,2
1511,1
1512,2
1513,1
1514,3
1515,3
1516,3
1517,3
1518,1
1519,1
1520,3
1521,3
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,2
1529,1
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,2
1554,2
1555,2
1556,2
1557,2
1558,2
1559,2
1560,2
1561,2
1562,2
1563,2
1564,2
1565,2
1566,2
1567,2
1568,2
1569,2
1570,2
1571,2
1572,2
1573,2
1574,2
1575,2
1576,2
1577,2
1578,2
1579,2
1580,1
1581,2
1582,2
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,2
1590,2
1591,2
1592,1
1593,1
1594,2
1595,1
1596,1
1597,1
1598,1
1599,2
1600,1
1601,1
1602,3
1603,1
1604,1
1605,1
1606,3
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,3
1614,1
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,2
1771,2
1772,2
1773,0
1774,2
1775,0
1776,2
1777,2
1778,2
1779,2
1780,2
1781,2
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
