,rec_ind0,rec_ind1,rec_ind2,rec_ind3,sp_name,is_invasive
56,2,0,3,10,ex_2_GBM39_Control_10,1
57,2,1,3,1,ex_2_GBM39_Dinac_1uM_1,1
58,2,1,3,2,ex_2_GBM39_Dinac_1uM_2,0
59,2,1,3,3,ex_2_GBM39_Dinac_1uM_3,0
60,2,1,3,5,ex_2_GBM39_Dinac_1uM_5,0
61,2,1,3,6,ex_2_GBM39_Dinac_1uM_6,0
62,2,1,3,7,ex_2_GBM39_Dinac_1uM_7,0
63,2,1,3,8,ex_2_GBM39_Dinac_1uM_8,0
64,2,1,3,9,ex_2_GBM39_Dinac_1uM_9,0
65,2,1,3,10,ex_2_GBM39_Dinac_1uM_10,0
66,2,2,3,1,ex_2_GBM39_Dinac_10uM_1,0
67,2,2,3,2,ex_2_GBM39_Dinac_10uM_2,0
68,2,2,3,3,ex_2_GBM39_Dinac_10uM_3,1
69,2,2,3,4,ex_2_GBM39_Dinac_10uM_4,0
70,2,2,3,5,ex_2_GBM39_Dinac_10uM_5,1
71,2,2,3,6,ex_2_GBM39_Dinac_10uM_6,0
72,2,2,3,7,ex_2_GBM39_Dinac_10uM_7,1
73,2,2,3,8,ex_2_GBM39_Dinac_10uM_8,1
74,2,2,3,10,ex_2_GBM39_Dinac_10uM_10,1
75,2,3,3,1,ex_2_GBM39_TMZ_1uM_1,1
76,2,3,3,2,ex_2_GBM39_TMZ_1uM_2,1
77,2,3,3,3,ex_2_GBM39_TMZ_1uM_3,1
78,2,3,3,4,ex_2_GBM39_TMZ_1uM_4,1
79,2,3,3,5,ex_2_GBM39_TMZ_1uM_5,1
80,2,3,3,6,ex_2_GBM39_TMZ_1uM_6,1
81,2,3,3,7,ex_2_GBM39_TMZ_1uM_7,1
82,2,3,3,8,ex_2_GBM39_TMZ_1uM_8,1
83,2,3,3,9,ex_2_GBM39_TMZ_1uM_9,1
84,2,3,3,10,ex_2_GBM39_TMZ_1uM_10,0
85,2,4,3,1,ex_2_GBM39_TMZ_10uM_1,1
86,2,4,3,2,ex_2_GBM39_TMZ_10uM_2,1
87,2,4,3,3,ex_2_GBM39_TMZ_10uM_3,1
88,2,4,3,5,ex_2_GBM39_TMZ_10uM_5,1
89,2,4,3,6,ex_2_GBM39_TMZ_10uM_6,1
90,2,4,3,8,ex_2_GBM39_TMZ_10uM_8,1
91,2,4,3,9,ex_2_GBM39_TMZ_10uM_9,1
